Mention,ConceptCode,ConceptName,SemanticType,Start
nursing education,C20844,Nurse Educator,Biomedical Occupation or Discipline,17
edge,C75923,Graph Edge,Conceptual Entity,75
flexible,C80495,Flexible,Conceptual Entity,95
leadership,C121297,Leadership Scale,Intellectual Product,104
critical,C25467,Critical,Qualitative Concept,119
action,C25404,Action,Activity,128
allows,C41192,Authorization,Governmental or Regulatory Activity,139
nurses promote health,C18832,Health Promotion in Nursing,Occupational Activity,146
promote health care,C18830,Health Promotion and Care,Educational Activity,156
complex,C47881,Complex,Qualitative Concept,195
systems,C40568,"System, LOINC Axis 4",Intellectual Product,223
American,C128457,American Ethnicity,Population Group,232
Association,C25648,Relationship,Conceptual Entity,241
Colleges,C61514,College,Organization,256
education,C16529,Education,Educational Activity,301
most,C25258,Most,Qualitative Concept,340
nurses,C25596,Breast Feeding,Therapeutic or Preventive Procedure,345
countries,C66786,CDISC SDTM Country Terminology,Intellectual Product,366
Bangladesh,C16323,Bangladesh,Geographic Area,377
rapidly,C65069,Rapidly,Qualitative Concept,393
country,C25464,Country,Geographic Area,412
progress,C25630,Progress,Qualitative Concept,447
country,C25464,Country,Geographic Area,522
severe,C70667,Severe,Qualitative Concept,536
healthcare providers,C16666,Health Care Provider,Professional or Occupational Group,555
nurses,C25596,Breast Feeding,Therapeutic or Preventive Procedure,587
World Health Organization,C75419,World Health Organization,Health Care Related Organization,595
overcome,C90036,Overcome,Activity,631
problem,C28020,Problem,Phenomenon or Process,645
number,C25337,Number,Quantitative Concept,658
nursing,C16926,Nursing,Biomedical Occupation or Discipline,668
institutes,C41206,Institution,Organization,676
colleges,C61514,College,Organization,691
Bangladesh,C16323,Bangladesh,Geographic Area,703
increased,C25533,Increase,Qualitative Concept,732
both,C49636,Both,Qualitative Concept,758
public,C49060,Public,Qualitative Concept,767
private,C54104,Private,Qualitative Concept,778
sectors,C48955,Sector,Geographic Area,786
statistics,C17167,Statistics,Occupation or Discipline,814
Directorate Nursing,C20859,Nurse Administrator,Biomedical Occupation or Discipline,826
Nursing Health Family,C18790,Family Health Nursing,Biomedical Occupation or Discipline,841
Nursing bachelor science,C71350,Bachelor of Science in Nursing,Intellectual Product,841
Nursing schools schools schools,C19023,School Health Nursing,Biomedical Occupation or Discipline,841
Services,C15785,Clinical Service,Health Care Activity,849
Bangladesh,C16323,Bangladesh,Geographic Area,919
20,C105799,Twenty,Quantitative Concept,934
BSN,C71350,Bachelor of Science in Nursing,Intellectual Product,969
